gene_name,log2FoldChange.KO_Inf_8h_KO_Mock_8h,padj.KO_Inf_8h_KO_Mock_8h,diff.KO_Inf_8h_KO_Mock_8h,log2FoldChange.WT_Inf_8h_WT_Mock_8h,padj.WT_Inf_8h_WT_Mock_8h,diff.WT_Inf_8h_WT_Mock_8h,mean_KO_Inf_8h,mean_KO_Mock_8h,mean_WT_Inf_8h,mean_WT_Mock_8h
DNAJC16,-0.165451376273042,0.249952674989185,No,-0.0228230060216343,0.904222662968858,No,369.404779176886,415.304044063514,329.431108086166,335.659833836421
DDI2,-0.297982080458406,0.000138898019959313,No,-0.167866828698959,0.0494553148706012,No,2210.65959306431,2723.99172770462,2186.43627501221,2458.53136320467
RSC1A1,-0.0357657168225435,0.92990300851827,No,0.171958497727075,0.581300728287759,No,53.4532500576079,65.9354961490941,52.2441428472503,0
PLEKHM2,-0.403657989807949,2.66682588294052e-07,No,-0.395620248904711,7.02467524186828e-07,No,810.748377847356,1076.41039926669,951.671017717428,1256.00328931022
SLC25A34,0.285831525945195,0.577913774284474,No,-0.0934941528643406,0.866172758626937,No,11.47943425225,7.39163602818996,8.25118542664087,9.31948378663806
FBLIM1,0.109197453238588,0.39472900498605,No,0.159664921073253,0.186644293781227,No,510.392798713172,473.155850863864,624.204653359521,558.386975328604
SPEN,0.435867189999287,0.00643882886779692,No,0.663010624684514,1.69998687717401e-05,No,3940.85809783794,2877.85161668872,3797.21989553721,2352.8734895156
ZBTB17,0.206590866094921,0.102665356192953,No,0.414746041593578,0.000816325016135409,No,484.144653969592,418.475488689539,470.290275679652,349.864065167971
CLCNKB,-0.0143146772875611,0.982541704228889,No,-0.196833846131887,0.641978643148721,No,27.9247528722599,28.3289055027781,38.7962077496502,46.2077321402255
FAM131C,-0.389083523857945,0.367637425074378,No,-0.327171248354774,0.450301028107239,No,18.0546845391868,26.3469783075514,29.0134069729944,38.7760831738453
EPHA2,0.933182758861153,2.57300940026988e-49,No,1.40151208733119,7.94024038465865e-103,Up,1905.06890245939,993.859111556264,2458.88220360493,924.436640537168
ARHGEF19,-0.238933270040647,0.445475640992211,No,-0.295417475628893,0.33395736990206,No,81.0806614862199,97.8284129339624,86.3604818725438,108.604244432088
FBXO42,0.318054443755871,0.000533122814125623,No,0.0545781472960573,0.648774139280129,No,719.292241883467,575.598588442964,698.08101954995,672.464380707813
SZRD1,0.0267444718448298,0.679231033513312,No,-0.0768223607917987,0.167172575308952,No,4023.57197679896,3948.93290949137,3787.69887010735,3994.88129211419
NECAP2,0.369758019023962,2.79717018307726e-06,No,0.208704564717416,0.0157906950163258,No,1373.43518312243,1061.68432134124,1287.50027593019,1114.11987765278
CROCCP3,0.653627505513679,0.00105644226716287,No,0.203421299898446,0.405858848815747,No,144.367080274684,88.6117639798318,119.245924832573,102.703320393796
